flyby_url,flyby_index,flyby_cassini_mission,flyby_date,flyby_altitude,flyby_cube_quantity,flyby_sequence,flyby_revolution
https://vims.univ-nantes.fr/flyby/281TI,281TI,Solstice,2017-06-30,n/a,5,S100,281
https://vims.univ-nantes.fr/flyby/282TI,282TI,Solstice,2017-07-05,n/a,4,S100,282
https://vims.univ-nantes.fr/flyby/283TI,283TI,Solstice,2017-07-10,248003 km,46,S100,283
https://vims.univ-nantes.fr/flyby/284TI,284TI,Solstice,2017-07-20,n/a,14,S100,284
https://vims.univ-nantes.fr/flyby/285TI,285TI,Solstice,2017-07-27,548225 km,33,S100,285
https://vims.univ-nantes.fr/flyby/286TI,286TI,Solstice,2017-07-29,n/a,5,S100,286
https://vims.univ-nantes.fr/flyby/287TI,287TI,Solstice,2017-08-10,n/a,17,S100,287
https://vims.univ-nantes.fr/flyby/288TI,288TI,Solstice,2017-08-11,175335 km,27,S100,288
https://vims.univ-nantes.fr/flyby/289TI,289TI,Solstice,2017-08-20,n/a,8,S100,289
https://vims.univ-nantes.fr/flyby/290TI,290TI,Solstice,2017-08-26,736693 km,75,S101,290
https://vims.univ-nantes.fr/flyby/291TI,291TI,Solstice,2017-08-31,n/a,8,S101,291
https://vims.univ-nantes.fr/flyby/292TI,292TI,Solstice,2017-09-11,84333 km,171,S101,292
https://vims.univ-nantes.fr/flyby/293TI,293TI,Solstice,2017-09-12,n/a,10,S101,293
